episode_id,host_gender,guest_gender,dyad
ep_202_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_273_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_279_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_187_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_184_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_027_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_288_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_056_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_214_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_253_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_039_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_154_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_260_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_213_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_103_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_028_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_217_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_048_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_236_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_034_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_113_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_208_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_222_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_248_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_104_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_019_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_225_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_237_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_033_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_275_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_287_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_281_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_068_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_200_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_071_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_102_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_269_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_047_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_218_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_235_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_251_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_049_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_023_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_067_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_079_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_085_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_176_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_172_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_100_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_062_whisperx_diarized.gender.host_guest,male,male,MALE->MALE
ep_002_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_030_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_186_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_057_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_220_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_263_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_199_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_098_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_229_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_055_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_246_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_016_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_198_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_164_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_042_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_066_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_032_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_017_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_207_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_078_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_163_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_255_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_256_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_274_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_061_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_043_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_110_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_101_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_064_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_097_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_185_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_282_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_205_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_053_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_179_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_289_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_211_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_112_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_270_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_009_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_088_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_014_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_223_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_204_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_197_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_093_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_231_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_052_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_092_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
ep_074_whisperx_diarized.gender.host_guest,male,female,MALE->FEMALE
