episode_id,speaker_id,role,gender,word_count,hedge_count,hedge_per_1k,booster_count,booster_per_1k,polite_count,polite_per_1k,directive_count,directive_per_1k
ep_108_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,2901,24,8.273009307135471,3,1.0341261633919339,5,1.723543605653223,6,2.0682523267838677
ep_108_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,17203,45,2.6158228216008834,11,0.6394233563913271,14,0.8138115444980527,15,0.8719409405336278
ep_248_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,2737,19,6.941907197661673,1,0.36536353671903543,2,0.7307270734380709,3,1.0960906101571064
ep_248_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,7903,104,13.15955966088827,19,2.40415032266228,1,0.12653422750854107,3,0.3796026825256232
ep_001_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,1941,12,6.182380216383307,5,2.575991756826378,11,5.667181865018033,1,0.5151983513652757
ep_001_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,4165,67,16.086434573829532,3,0.7202881152460984,0,0.0,27,6.482593037214886
ep_020_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,8917,119,13.345295502971851,7,0.785017382527756,1,0.112145340361108,22,2.4671974879443757
ep_020_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,2309,9,3.8977912516240796,2,0.8661758336942399,3,1.29926375054136,2,0.8661758336942399
ep_285_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,9009,58,6.438006438006438,6,0.666000666000666,1,0.11100011100011101,7,0.777000777000777
ep_285_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,3464,27,7.79445727482679,5,1.443418013856813,7,2.020785219399538,3,0.8660508083140878
ep_209_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,8967,8,0.8921601427456228,3,0.33456005352960855,4,0.4460800713728114,4,0.4460800713728114
ep_209_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,2734,6,2.194586686174104,0,0.0,7,2.560351133869788,7,2.560351133869788
ep_049_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,10913,50,4.5816915605241455,11,1.0079721433153122,29,2.6573811051040046,8,0.7330706496838633
ep_049_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,912,7,7.675438596491228,2,2.1929824561403506,3,3.289473684210526,1,1.0964912280701753
ep_319_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,4548,32,7.036059806508356,2,0.43975373790677225,6,1.3192612137203166,3,0.6596306068601583
ep_319_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,female,780,1,1.2820512820512822,0,0.0,4,5.128205128205129,0,0.0
ep_284_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,10027,39,3.889498354443004,10,0.9973072703700009,5,0.49865363518500044,9,0.8975765433330009
ep_284_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,2373,11,4.635482511588706,1,0.42140750105351876,7,2.949852507374631,2,0.8428150021070375
ep_210_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,4149,9,2.1691973969631237,1,0.24102193299590263,2,0.48204386599180526,8,1.928175463967221
ep_210_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,female,8079,25,3.0944423814828568,15,1.856665428889714,2,0.24755539051862854,6,0.7426661715558857
ep_144_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,female,8743,99,11.323344389797553,11,1.2581493766441725,6,0.6862632963513668,7,0.8006405124099278
ep_144_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,female,2706,15,5.543237250554324,3,1.1086474501108647,4,1.4781966001478197,4,1.4781966001478197
ep_095_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,2321,20,8.61697544161999,0,0.0,4,1.7233950883239983,1,0.4308487720809996
ep_095_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,12711,137,10.778066241837779,5,0.39336008181889703,6,0.4720320981826764,10,0.7867201636377941
ep_270_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,3449,7,2.029573789504204,2,0.5798782255726297,7,2.029573789504204,2,0.5798782255726297
ep_270_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,female,9434,20,2.11999152003392,3,0.31799872800508794,1,0.10599957600169599,3,0.31799872800508794
ep_198_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,female,9044,22,2.4325519681556833,7,0.7739938080495357,2,0.22114108801415305,17,1.8796992481203008
ep_198_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,1945,5,2.5706940874035986,1,0.5141388174807198,3,1.5424164524421595,0,0.0
ep_195_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,8729,9,1.0310459388246076,0,0.0,7,0.8019246190858059,3,0.3436819796082025
ep_195_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,1903,3,1.576458223857068,2,1.050972149238045,9,4.729374671571204,1,0.5254860746190225
ep_079_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,3468,33,9.515570934256056,3,0.8650519031141869,10,2.883506343713956,5,1.441753171856978
ep_079_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,12673,18,1.420342460348773,7,0.5523554012467451,5,0.39453957231910364,23,1.8148820326678765
ep_123_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,female,1693,17,10.04134672179563,0,0.0,3,1.772002362669817,2,1.1813349084465445
ep_123_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,5610,51,9.09090909090909,3,0.5347593582887701,6,1.0695187165775402,4,0.7130124777183601
ep_019_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,5987,77,12.861199265074328,19,3.1735426757975613,7,1.1691999331885754,4,0.6681142475363288
ep_019_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,2147,30,13.972985561248253,1,0.4657661853749418,4,1.8630647414997672,1,0.4657661853749418
ep_265_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,2341,10,4.271678769756515,1,0.42716787697565145,7,2.99017513882956,5,2.1358393848782575
ep_265_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,9522,54,5.671077504725898,2,0.21003990758244065,10,1.0501995379122033,7,0.7351396765385423
ep_005_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,1817,16,8.805723720418271,2,1.100715465052284,2,1.100715465052284,1,0.550357732526142
ep_005_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,5163,102,19.755955839628122,15,2.905287623474724,5,0.968429207824908,5,0.968429207824908
ep_316_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,female,6072,53,8.72859025032938,12,1.976284584980237,5,0.8234519104084321,14,2.30566534914361
ep_316_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,female,1760,18,10.227272727272727,4,2.2727272727272725,7,3.977272727272727,1,0.5681818181818181
ep_168_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,2293,10,4.361098996947231,4,1.7444395987788923,7,3.0527692978630614,0,0.0
ep_168_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,5164,7,1.3555383423702556,5,0.9682416731216111,2,0.3872966692486445,2,0.3872966692486445
ep_160_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,2251,8,3.553976010661928,2,0.888494002665482,8,3.553976010661928,2,0.888494002665482
ep_160_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,6741,93,13.796172674677347,9,1.335113484646195,3,0.4450378282153983,8,1.1867675419077288
ep_058_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,2384,16,6.7114093959731544,3,1.2583892617449663,8,3.3557046979865772,2,0.8389261744966443
ep_058_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,female,6403,50,7.808839606434484,11,1.7179447134155865,2,0.31235358425737936,4,0.6247071685147587
ep_309_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,7103,90,12.670702520061946,1,0.14078558355624385,6,0.844713501337463,8,1.1262846684499508
ep_309_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,female,841,4,4.756242568370986,0,0.0,2,2.378121284185493,0,0.0
ep_213_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,9721,35,3.6004526283304186,4,0.4114803003806193,2,0.20574015019030964,9,0.9258306758563934
ep_213_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,4533,10,2.2060445621001543,4,0.8824178248400617,8,1.7648356496801234,6,1.3236267372600927
ep_011_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,female,7839,43,5.485393545095038,23,2.934047710167113,5,0.6378364587319811,10,1.2756729174639623
ep_011_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,female,1677,10,5.963029218843173,8,4.770423375074538,6,3.5778175313059033,1,0.5963029218843172
ep_016_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,2185,9,4.118993135011442,0,0.0,3,1.3729977116704806,2,0.9153318077803204
ep_016_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,female,8850,25,2.824858757062147,2,0.22598870056497175,4,0.4519774011299435,5,0.5649717514124294
ep_294_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,11390,90,7.901668129938543,11,0.9657594381035997,0,0.0,6,0.5267778753292361
ep_294_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,5612,48,8.553100498930863,5,0.8909479686386316,6,1.069137562366358,5,0.8909479686386316
ep_145_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,female,7674,51,6.645817044566067,10,1.3031013812874641,5,0.6515506906437321,15,1.9546520719311962
ep_145_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,female,2346,19,8.098891730605285,3,1.278772378516624,4,1.7050298380221653,6,2.557544757033248
ep_042_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,8450,99,11.715976331360947,8,0.9467455621301775,7,0.8284023668639053,14,1.6568047337278107
ep_042_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,female,12602,144,11.426757657514681,17,1.348992223456594,8,0.6348198698619266,16,1.2696397397238532
ep_132_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,6480,51,7.870370370370369,4,0.6172839506172839,7,1.0802469135802468,5,0.7716049382716049
ep_132_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,female,1585,7,4.416403785488959,0,0.0,1,0.6309148264984228,6,3.7854889589905363
ep_130_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,female,2554,13,5.090054815974941,0,0.0,6,2.3492560689115116,9,3.523884103367267
ep_130_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,10393,91,8.755893389781585,6,0.577311652073511,7,0.6735302607524295,11,1.0584046954681035
ep_318_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,5687,123,21.628275013187974,1,0.17583963425356075,3,0.5275189027606823,14,2.4617548795498507
ep_318_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,female,1234,4,3.2414910858995136,3,2.4311183144246353,5,4.051863857374392,1,0.8103727714748784
ep_094_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,4369,67,15.335317006179903,6,1.373311970702678,14,3.2043945983062483,10,2.2888532845044636
ep_094_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,12682,84,6.623560952531147,47,3.7060400567733796,28,2.2078536508437154,10,0.7885191610156126
ep_216_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,2966,10,3.3715441672285906,3,1.0114632501685772,8,2.6972353337828725,2,0.6743088334457181
ep_216_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,12951,8,0.6177129179213959,7,0.5404988031812216,4,0.30885645896069797,4,0.30885645896069797
ep_287_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,10171,63,6.194081211286993,4,0.39327499754203127,7,0.6882312456985547,5,0.49159374692753904
ep_287_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,2663,12,4.50619601952685,0,0.0,6,2.253098009763425,2,0.7510326699211416
ep_241_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,1933,4,2.0693222969477496,2,1.0346611484738748,6,3.1039834454216244,1,0.5173305742369374
ep_241_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,6068,20,3.2959789057350033,8,1.3183915622940012,0,0.0,0,0.0
ep_057_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,3405,21,6.167400881057269,6,1.762114537444934,16,4.698972099853157,3,0.881057268722467
ep_057_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,female,9899,35,3.535710677846247,14,1.4142842711384989,6,0.606121830487928,6,0.606121830487928
ep_177_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,9119,57,6.250685382169097,3,0.32898344116679457,1,0.10966114705559821,0,0.0
ep_177_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,3220,17,5.279503105590062,0,0.0,3,0.9316770186335404,1,0.31055900621118016
ep_114_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,female,1301,6,4.611837048424289,1,0.7686395080707148,1,0.7686395080707148,4,3.074558032282859
ep_114_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,5444,75,13.776634827332844,17,3.1227038941954444,6,1.1021307861866274,15,2.755326965466569
ep_217_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,7214,25,3.4654837815359025,6,0.8317161075686166,7,0.9703354588300527,2,0.2772387025228722
ep_217_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,2283,8,3.504161191414805,1,0.43802014892685065,2,0.8760402978537013,0,0.0
ep_100_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,8796,80,9.095043201455207,8,0.9095043201455206,6,0.6821282401091405,10,1.1368804001819008
ep_100_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,3317,31,9.345794392523365,3,0.9044317154054868,14,4.220681338558939,7,2.1103406692794695
ep_154_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,2284,3,1.3134851138353765,0,0.0,4,1.7513134851138354,0,0.0
ep_154_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,19398,25,1.2887926590370142,14,0.7217238890607279,0,0.0,15,0.7732755954222085
ep_048_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,2876,8,2.7816411682892905,1,0.3477051460361613,9,3.129346314325452,2,0.6954102920723226
ep_048_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,15776,15,0.9508113590263692,1,0.06338742393509128,2,0.12677484787018256,2,0.12677484787018256
ep_327_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,female,5088,71,13.95440251572327,7,1.3757861635220126,3,0.5896226415094339,14,2.751572327044025
ep_327_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,female,1402,4,2.8530670470756063,5,3.566333808844508,0,0.0,1,0.7132667617689016
ep_335_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,female,6370,136,21.350078492935634,5,0.7849293563579278,8,1.2558869701726845,30,4.7095761381475665
ep_335_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,female,2281,19,8.329679964927664,3,1.31521262604121,7,3.068829460762823,4,1.7536168347216134
ep_344_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,female,1663,5,3.006614552014432,1,0.6013229104028863,6,3.6079374624173184,0,0.0
ep_344_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,female,5920,42,7.094594594594595,7,1.1824324324324325,1,0.16891891891891891,0,0.0
ep_262_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,9563,25,2.6142423925546376,3,0.31370908710655654,5,0.5228484785109275,6,0.6274181742131131
ep_262_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,4420,20,4.524886877828055,1,0.22624434389140272,9,2.0361990950226247,4,0.9049773755656109
ep_138_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,female,2386,8,3.352891869237217,4,1.6764459346186085,2,0.8382229673093042,8,3.352891869237217
ep_138_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,9467,25,2.6407520861941483,12,1.267561001373191,3,0.31689025034329776,19,2.0069715855075523
ep_055_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,4866,48,9.864364981504316,5,1.0275380189066994,14,2.877106452938759,4,0.8220304151253596
ep_055_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,female,17333,140,8.07707840535395,7,0.40385392026769745,3,0.1730802515432989,14,0.8077078405353949
ep_093_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,female,14532,88,6.055601431323975,1,0.06881365262868153,35,2.4084778420038533,12,0.8257638315441783
ep_093_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,7472,60,8.029978586723768,3,0.4014989293361884,19,2.542826552462527,12,1.6059957173447537
ep_253_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,14709,151,10.265823645387178,19,1.2917261540553402,2,0.13597117411108844,4,0.2719423482221769
ep_253_whisperx_diarized.gender.host_guest,SPEAKER_00,HOST,male,3802,14,3.682272488164124,5,1.3150973172014728,10,2.6301946344029457,3,0.7890583903208838
ep_012_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,20339,238,11.701656915285904,16,0.7866660111116573,9,0.4424996312503073,8,0.3933330055558287
ep_012_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,2716,11,4.050073637702504,3,1.1045655375552283,8,2.945508100147275,7,2.577319587628866
ep_232_whisperx_diarized.gender.host_guest,SPEAKER_01,HOST,male,1473,4,2.715546503733876,1,0.678886625933469,5,3.3944331296673456,2,1.357773251866938
ep_232_whisperx_diarized.gender.host_guest,SPEAKER_00,GUEST,male,8572,38,4.433037797480168,7,0.8166122258516099,8,0.9332711152589828,2,0.2333177788147457
ep_027_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,10704,29,2.7092675635276535,13,1.2144992526158445,8,0.7473841554559043,10,0.9342301943198804
