episode_id,initiator_speaker,initiator_role,initiator_gender,initiator_word_count,responder_speaker,responder_role,responder_gender,responder_word_count,incoming_similarity,similarity,followup_threshold,followed_up
ep_273_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,91,Raj Shamani,HOST,male,7,,0.009862339654255455,0.032557885416365125,0
ep_273_whisperx_diarized.gender.host_guest,Raj Shamani,HOST,male,7,SPEAKER_01,GUEST,male,28,0.009862339654255455,0.09888088402079574,0.032557885416365125,1
ep_273_whisperx_diarized.gender.host_guest,Raj Shamani,HOST,male,281,SPEAKER_01,GUEST,male,201,0.009182358172906562,0.07857091416461601,0.032557885416365125,1
ep_273_whisperx_diarized.gender.host_guest,Raj Shamani,HOST,male,2,SPEAKER_01,GUEST,male,40,0.0,0.0,0.032557885416365125,0
ep_273_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,40,Raj Shamani,HOST,male,85,0.0,0.022469687077494676,0.032557885416365125,0
ep_273_whisperx_diarized.gender.host_guest,Raj Shamani,HOST,male,85,SPEAKER_01,GUEST,male,116,0.022469687077494676,0.017540473885685075,0.032557885416365125,0
ep_273_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,116,Raj Shamani,HOST,male,28,0.017540473885685075,0.1585088713751002,0.032557885416365125,1
ep_273_whisperx_diarized.gender.host_guest,Raj Shamani,HOST,male,1,SPEAKER_01,GUEST,male,436,0.0,0.0,0.032557885416365125,0
ep_273_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,436,Raj Shamani,HOST,male,163,0.0,0.08705456284837718,0.032557885416365125,1
ep_273_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,49,Raj Shamani,HOST,male,161,0.03676495684628465,0.01054446485235112,0.032557885416365125,0
ep_273_whisperx_diarized.gender.host_guest,Raj Shamani,HOST,male,161,SPEAKER_01,GUEST,male,47,0.01054446485235112,0.05916385558478975,0.032557885416365125,1
ep_273_whisperx_diarized.gender.host_guest,Raj Shamani,HOST,male,16,SPEAKER_01,GUEST,male,19,0.0,0.0905003801037792,0.032557885416365125,1
ep_273_whisperx_diarized.gender.host_guest,Raj Shamani,HOST,male,8,SPEAKER_01,GUEST,male,99,0.0,0.04151773302185244,0.032557885416365125,1
ep_273_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,99,Raj Shamani,HOST,male,7,0.04151773302185244,0.016836192516204048,0.032557885416365125,0
ep_273_whisperx_diarized.gender.host_guest,Raj Shamani,HOST,male,7,SPEAKER_01,GUEST,male,6,0.016836192516204048,0.3401351783733438,0.032557885416365125,1
ep_273_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,11,Raj Shamani,HOST,male,31,0.0,0.0,0.032557885416365125,0
ep_273_whisperx_diarized.gender.host_guest,Raj Shamani,HOST,male,31,SPEAKER_01,GUEST,male,9,0.0,0.0,0.032557885416365125,0
ep_273_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,9,Raj Shamani,HOST,male,14,0.0,0.0,0.032557885416365125,0
ep_273_whisperx_diarized.gender.host_guest,Raj Shamani,HOST,male,14,SPEAKER_01,GUEST,male,36,0.0,0.16462385896851267,0.032557885416365125,1
ep_273_whisperx_diarized.gender.host_guest,Raj Shamani,HOST,male,116,SPEAKER_01,GUEST,male,81,0.0,0.013189309996615498,0.032557885416365125,0
ep_273_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,81,Raj Shamani,HOST,male,17,0.013189309996615498,0.16585624504897353,0.032557885416365125,1
ep_273_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,16,Raj Shamani,HOST,male,236,0.0,0.07408939198676309,0.032557885416365125,1
ep_273_whisperx_diarized.gender.host_guest,Raj Shamani,HOST,male,72,SPEAKER_01,GUEST,male,30,0.022210691501880774,0.05016744292366036,0.032557885416365125,1
ep_273_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,24,Raj Shamani,HOST,male,59,0.009878312542017799,0.10408800773654686,0.032557885416365125,1
ep_273_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,16,Raj Shamani,HOST,male,126,0.0,0.0,0.032557885416365125,0
ep_273_whisperx_diarized.gender.host_guest,Raj Shamani,HOST,male,126,SPEAKER_01,GUEST,male,25,0.0,0.1070083336207506,0.032557885416365125,1
ep_273_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,30,Raj Shamani,HOST,male,18,0.029552787945485423,0.0,0.032557885416365125,0
ep_273_whisperx_diarized.gender.host_guest,Raj Shamani,HOST,male,18,SPEAKER_01,GUEST,male,65,0.0,0.03199618624390202,0.032557885416365125,0
ep_273_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,65,Raj Shamani,HOST,male,20,0.03199618624390202,0.05273231736402769,0.032557885416365125,1
ep_273_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,75,Raj Shamani,HOST,male,65,0.03645018020451039,0.0027873683580029243,0.032557885416365125,0
ep_273_whisperx_diarized.gender.host_guest,Raj Shamani,HOST,male,65,SPEAKER_01,GUEST,male,1,0.0027873683580029243,0.0985906806385129,0.032557885416365125,1
ep_273_whisperx_diarized.gender.host_guest,Raj Shamani,HOST,male,20,SPEAKER_01,GUEST,male,188,0.0,0.04244489647524821,0.032557885416365125,1
ep_273_whisperx_diarized.gender.host_guest,SPEAKER_01,GUEST,male,188,Raj Shamani,HOST,male,51,0.04244489647524821,0.048933591341061886,0.032557885416365125,1
